cityid,urbanArea,Albedo,Evapotranspiration,Specific_humidity,Total_precipitation_rate,Rain_precipitation_rate,Air_temperature,Wind_speed,era5h11_temperature_2m,era5h11_total_precipitation,era5h11_total_precipitation_hourly,era5h11_wind_10m,era5m_temperature_2m,era5m_temperature_2m_max,era5m_temperature_2m_min,era5m_total_precipitation_sum,era5m_wind_10m,pop,Type,continent,continent_v,max_d_rsquared,max_t_rsquared,d_const,d_lnarea,d_lnlsi,d_NDVI,d_imp,city_d_rsquared,t_const,t_lnarea,t_lnlsi,t_NDVI,t_imp,city_t_rsquared,green_space_num,ndvi_imp_green_space_num,non_cool,have_turning_point,max_g_median,max_d_mean,max_d_median,max_t_mean,max_t_median,mean_ndvi,mean_isp
14128,381.8564368,15.84184508,1.36E-05,0.008560624,4.40E-06,4.37E-06,302.1971708,2.915971532,304.9065485,0.000103,1.04E-05,1.002791084,299.5440765,312.0823312,288.3193241,0.011648469,0.635816835,3080220.191,3,Africa,1,0.199446342,0.666425532,-170.2672841,48.34989592,53.99563692,-44.10245954,-290.710332,0.24716173,-7.932344792,1.229736289,-0.540475665,1.639498948,-4.069050229,0.66726162,42,27,0,27,0.989906628,137.0250953,134.4178573,1.394482201,1.615039518,0.389888578,0.745459509
14476,133.4536029,15.91144733,1.83E-05,0.008995938,4.39E-06,4.39E-06,303.409411,2.885674575,305.3834893,0.000145,1.60E-05,1.546792423,299.4379103,313.5435003,288.3686505,0.014308028,0.667918175,415460.4462,3,Africa,1,0.199446342,0.666425532,7.757989956,11.63483113,9.346215788,-61.98733595,14.13424046,0.043174929,-5.301608085,0.51196915,-0.275842938,4.777911207,-0.78585599,0.604627157,44,28,0,28,0.872021246,116.01248,107.4477681,1.143426805,1.065984443,0.418079446,0.537074873
15486,220.9115895,16.48457048,3.83E-05,0.016576079,6.09E-05,6.11E-05,299.6274848,3.103816249,300.9030384,0.00191883,0.000346,2.251162648,298.604272,304.2415757,295.2915391,0.17315702,2.04797155,1288150.298,1,Africa,1,0.199446342,0.666425532,-210.070118,31.15874827,13.74902557,105.7804001,-25.24453184,0.133849607,-2.414424707,0.524888265,0.36087299,-2.198123161,-0.23940659,0.127597831,65,38,0,38,1.1445419,157.9493632,146.2773166,1.769162981,1.504025058,0.570285237,0.76104928
15764,264.980957,18.29521453,4.00E-05,0.015382902,7.65E-05,7.65E-05,301.5835018,4.676327671,303.565918,0.001368041,0.000146,2.796757308,301.1476881,309.0598613,295.6673986,0.13696668,2.074972275,2097693.946,2,Africa,1,0.199446342,0.666425532,-452.6399348,34.06118045,-58.81737894,198.1342638,366.1098184,0.476704118,-9.748263735,0.392927562,-0.036985948,9.264253511,4.309292894,0.557018689,39,21,0,21,0.911671236,172.8056335,163.9783793,1.623719766,1.595853048,0.495505726,0.655417902
18318,1487.324455,23.17279207,1.15E-06,0.008207979,2.64E-07,2.63E-07,306.5167293,4.255107823,308.0799959,3.53E-06,1.64E-07,3.526217511,301.7531982,313.2437325,291.8041528,0.000185,2.893008707,15800000,2,Africa,1,0.199446342,0.666425532,-19.40779294,-1.250479215,38.22769746,256.4984804,51.62284262,0.1694319,-10.69879776,0.758047227,-0.556299369,13.17522923,-0.055997057,0.607651723,75,43,0,43,1.249738468,160.3997175,153.3740955,2.475911581,2.520192479,0.455798507,0.764487815
23802,1075.30104,15.80227269,3.59E-05,0.016073513,4.98E-05,4.99E-05,298.8163143,2.67158355,300.2086677,0.001314907,0.000231,2.299553455,298.1628093,303.467752,294.8915279,0.147641533,2.133047557,4449867.866,1,Africa,1,0.199446342,0.666425532,-84.22737179,39.74161827,-99.94791179,24.38671489,-99.20719552,0.172845539,-10.48064445,0.77388253,-0.976465201,5.386249583,3.000967357,0.386692004,114,56,0,56,1.253532216,168.8623888,170.2508037,2.007378153,1.973607448,0.605641833,0.760143142
23857,398.0271659,14.3903443,3.64E-05,0.016238981,5.79E-05,5.79E-05,297.6488879,1.92819033,300.0234919,0.001124253,0.000183,2.107726848,298.1887635,304.2774634,294.4324937,0.128209596,1.807775982,3150439.14,1,Africa,1,0.199446342,0.666425532,120.1190712,-12.74505812,43.81100576,205.0913026,14.7754617,0.031150162,-10.02178267,0.823698709,-0.746073277,6.559001507,1.209092996,0.507040077,119,67,0,67,1.456138596,169.4393354,166.1849313,2.580415774,2.36083418,0.609710505,0.825609626
23866,77.60921882,16.64229453,3.04E-05,0.016263484,5.93E-05,5.93E-05,298.911111,2.260828046,299.8794509,0.001694163,0.000369,2.072745344,297.8159982,302.633151,294.5759934,0.173027245,1.874354996,554438.737,1,Africa,1,0.199446342,0.666425532,16.43517923,6.402771164,-1.338568495,-49.61728514,135.0885062,0.084228794,-5.424472076,0.782829291,-1.36552779,-1.223548862,1.722799485,0.24219301,96,59,2,59,1.273715976,138.4282827,127.5655332,1.64025218,1.470631957,0.633459663,0.654986436
24158,172.8958549,15.91669231,2.11E-05,0.017376594,0.000179,0.000178,297.8943585,1.307950945,299.3699921,0.00623913,0.000642,0.878976128,298.0344591,304.2247762,295.0838601,0.545978592,0.893853593,1208719.896,1,Africa,1,0.199446342,0.666425532,-196.7817208,2.009706932,94.5833654,364.1602737,78.41200693,0.35498846,-6.04447273,0.549268956,-0.259692869,2.994679306,0.776091661,0.632898456,75,33,0,33,0.901605373,176.9148625,166.8404952,1.524058084,1.464809191,0.541799567,0.794377595
33011,410.3074053,26.24924143,1.64E-06,0.008344102,1.03E-06,1.03E-06,304.6800538,3.733964682,306.5568242,2.16E-05,1.31E-06,1.518780238,301.3058385,314.9189865,290.7995786,0.001484739,1.452906648,903091.3738,2,Africa,1,0.199446342,0.666425532,175.8635495,-9.024872039,-16.51818085,226.1331941,-14.99534556,0.0905437,-0.182033123,-0.003396153,-0.185035627,7.691261332,-1.376962707,0.362400024,78,38,0,38,0.878424728,137.3795526,127.4153679,1.264087916,1.388440478,0.323965979,0.620891459
33754,130.5532287,16.53443858,3.80E-06,0.009631372,2.24E-06,2.24E-06,298.9117336,2.312748945,301.8247159,4.78E-05,5.19E-06,1.768639434,297.2410657,311.8813395,287.4366794,0.003915598,1.34243782,1186526.431,3,Africa,1,0.199446342,0.666425532,-67.05366649,31.04425291,-47.60391053,-206.3685631,111.1853485,0.20982165,-8.674766704,1.115207299,-2.218951128,3.207536866,0.462284258,0.599093099,44,30,0,30,0.845341346,152.082653,146.6011712,1.482590571,1.191583503,0.424724425,0.459983798
33781,273.972061,16.86928266,2.69E-06,0.009630785,1.76E-06,1.76E-06,298.5416183,2.99164591,301.5357705,4.14E-05,4.30E-06,2.120355822,297.0840478,311.3478948,287.9773892,0.003111368,1.928237926,3126112.799,3,Africa,1,0.199446342,0.666425532,174.4289421,-21.8253253,36.99094198,281.3357478,24.89363477,0.055102144,-6.08698128,0.595284979,-0.931472551,5.305665776,0.53553295,0.389157653,70,36,0,36,0.84994961,132.3498779,127.9287083,1.258154207,1.22481219,0.415639087,0.589938906
33800,119.4171467,18.06583838,2.65E-06,0.007596469,1.87E-06,1.87E-06,298.6799733,2.669972829,302.2629159,2.93E-05,4.33E-06,1.242940278,297.866619,311.6910629,286.7382594,0.007791403,1.428173474,790814.2481,2,Africa,1,0.199446342,0.666425532,-53.70922656,31.18698581,-60.17432683,-5.158353936,-76.23469669,0.240438466,-8.247051571,1.126349377,-1.538393366,7.163658237,-2.796175544,0.648300044,39,22,0,22,1.404149019,141.7190715,141.4747764,2.38318293,1.980007837,0.397476936,0.726859771
